scientific_name,license,author,image_url,wikimedia_page
Acorus calamus,CC0,Naturalis Biodiversity Center,https://upload.wikimedia.org/wikipedia/commons/7/72/Acorus_calamus_SYNTYPE.jpg,https://commons.wikimedia.org/wiki/File%3AAcorus%20calamus%20SYNTYPE.jpg
Acorus gramineus 'Variegatus',,,,
Acorus gramineus,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/f/f7/Acorus_gramineus_-_Bartholdi_Park_-_Washington%2C_DC_-_DSC09453.JPG,https://commons.wikimedia.org/wiki/File%3AAcorus%20gramineus%20-%20Bartholdi%20Park%20-%20Washington%2C%20DC%20-%20DSC09453.JPG
Actaea cimicifuga,CC0,Татьяна Фирсова,https://upload.wikimedia.org/wikipedia/commons/c/c4/Actaea_cimicifuga_91443277.jpg,https://commons.wikimedia.org/wiki/File%3AActaea%20cimicifuga%2091443277.jpg
Actaea racemosa,CC0,Cbaile19,https://upload.wikimedia.org/wikipedia/commons/6/69/Actaea_racemosa%2C_2015-07-05%2C_Mount_Lebanon%2C_06.jpg,https://commons.wikimedia.org/wiki/File%3AActaea%20racemosa%2C%202015-07-05%2C%20Mount%20Lebanon%2C%2006.jpg
Actaea simplex,PD,Hardyplants,https://upload.wikimedia.org/wikipedia/commons/7/7a/Cimicifuga_ramosa_-_spikes.jpg,https://commons.wikimedia.org/wiki/File%3ACimicifuga%20ramosa%20-%20spikes.jpg
Actinidia arguta,PD,KeFe,https://upload.wikimedia.org/wikipedia/commons/5/51/Kopasz_kivi_01.jpg,https://commons.wikimedia.org/wiki/File%3AKopasz%20kivi%2001.jpg
Actinidia chinensis,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/9/95/Actinidia_chinensis_-_Urban_Greening_Botanical_Garden_-_Kiba_Park_-_Koto%2C_Tokyo%2C_Japan_-_DSC05417.jpg,https://commons.wikimedia.org/wiki/File%3AActinidia%20chinensis%20-%20Urban%20Greening%20Botanical%20Garden%20-%20Kiba%20Park%20-%20Koto%2C%20Tokyo%2C%20Japan%20-%20DSC05417.jpg
Actinidia kolomikta,PD,Qwert1234,https://upload.wikimedia.org/wikipedia/commons/f/f1/Actinidia_kolomikta_01.JPG,https://commons.wikimedia.org/wiki/File%3AActinidia%20kolomikta%2001.JPG
Actinidia pilosula,,,,
Adansonia digitata,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/1/12/The_Kampong_-_007.jpg,https://commons.wikimedia.org/wiki/File%3AThe%20Kampong%20-%20007.jpg
Adenium obesum,CC0,Bharmitha Selvaraj,https://upload.wikimedia.org/wikipedia/commons/4/45/Desert_region_flower%28Adenium%29.jpg,https://commons.wikimedia.org/wiki/File%3ADesert%20region%20flower%28Adenium%29.jpg
Adiantum aleuticum,PD,NC ([nyanna]),https://upload.wikimedia.org/wikipedia/commons/d/d5/MaidenhairFern250px.jpg,https://commons.wikimedia.org/wiki/File%3AMaidenhairFern250px.jpg
Adiantum capillus veneris,PD,Unknown,https://upload.wikimedia.org/wikipedia/commons/1/12/Adiantum_capillus-veneris_%28USDA%29.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantum%20capillus-veneris%20%28USDA%29.jpg
Adiantum hispidulum,CC0,Poyt448,https://upload.wikimedia.org/wikipedia/commons/c/cf/Adiantum_Chatswood_west.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantum%20Chatswood%20west.jpg
Adiantum pedatum,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/8/82/Adiantum_pedatum_-_Palmengarten_Frankfurt_-_DSC02002.JPG,https://commons.wikimedia.org/wiki/File%3AAdiantum%20pedatum%20-%20Palmengarten%20Frankfurt%20-%20DSC02002.JPG
Adiantum raddianum,PD,Unknown,https://upload.wikimedia.org/wikipedia/commons/f/f3/Adiantumraddianum1web.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantumraddianum1web.jpg
Adiantum venustum,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/b/bf/Adiantum_venustum_-_Botanischer_Garten%2C_Dresden%2C_Germany_-_DSC08945.JPG,https://commons.wikimedia.org/wiki/File%3AAdiantum%20venustum%20-%20Botanischer%20Garten%2C%20Dresden%2C%20Germany%20-%20DSC08945.JPG
Adonis amurensis,PD,"Torii, Kiyonaga, 1752-1815, artist",https://upload.wikimedia.org/wikipedia/commons/0/01/Ueki_fukujus%C5%8D_uri_LCCN2008660654.jpg,https://commons.wikimedia.org/wiki/File%3AUeki%20fukujus%C5%8D%20uri%20LCCN2008660654.jpg
Adromischus cristatus,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/1/15/Adromischus_cristatus_-_Gaiser_Conservatory_%28Manito_Park%29_-_IMG_7008.JPG,https://commons.wikimedia.org/wiki/File%3AAdromischus%20cristatus%20-%20Gaiser%20Conservatory%20%28Manito%20Park%29%20-%20IMG%207008.JPG
Adromischus maculatus,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/1/19/Adromischus_maculatus_-_Bergianska_tr%C3%A4dg%C3%A5rden_-_Stockholm%2C_Sweden_-_DSC00425.JPG,https://commons.wikimedia.org/wiki/File%3AAdromischus%20maculatus%20-%20Bergianska%20tr%C3%A4dg%C3%A5rden%20-%20Stockholm%2C%20Sweden%20-%20DSC00425.JPG
Adromischus marianae,,,,
Adromischus marianiae 'hallii',,,,
Adromischus poellnitzianus,PD,Davepape,https://upload.wikimedia.org/wikipedia/commons/6/67/Adromischus_poellnitzianus_-_Buffalo_Botanical_Gardens.jpg,https://commons.wikimedia.org/wiki/File%3AAdromischus%20poellnitzianus%20-%20Buffalo%20Botanical%20Gardens.jpg
Aechmea chantinii 'Samuri',,,,
Aechmea fasciata,CC0,Judgefloro,https://upload.wikimedia.org/wikipedia/commons/f/fb/0546La_Suerte_lucky_plant_in_the_Philippines_04.jpg,https://commons.wikimedia.org/wiki/File%3A0546La%20Suerte%20lucky%20plant%20in%20the%20Philippines%2004.jpg
